sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
6.0,3.4,4.5,1.6,versicolor
6.7,3.1,4.7,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
5.6,3.0,4.1,1.3,versicolor
5.5,2.5,4.0,1.3,versicolor
5.5,2.6,4.4,1.2,versicolor
6.1,3.0,4.6,1.4,versicolor
5.8,2.6,4.0,1.2,versicolor
5.0,2.3,3.3,1.0,versicolor
5.6,2.7,4.2,1.3,versicolor
5.7,3.0,4.2,1.2,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3.0,1.1,versicolor
5.7,2.8,4.1,1.3,versicolor
6.3,3.3,6.0,2.5,virginica
5.8,2.7,5.1,1.9,virginica
7.1,3.0,5.9,2.1,virginica
6.3,2.9,5.6,1.8,virginica
6.5,3.0,5.8,2.2,virginica
7.6,3.0,6.6,2.1,virginica
4.9,2.5,4.5,1.7,virginica
7.3,2.9,6.3,1.8,virginica
6.7,2.5,5.8,1.8,virginica
7.2,3.6,6.1,2.5,virginica
6.5,3.2,5.1,2.0,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3.0,5.5,2.1,virginica
5.7,2.5,5.0,2.0,virginica
5.8,2.8,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3.0,5.5,1.8,virginica
7.7,3.8,6.7,2.2,virginica
7.7,2.6,6.9,2.3,virginica
6.0,2.2,5.0,1.5,virginica
6.9,3.2,5.7,2.3,virginica
5.6,2.8,4.9,2.0,virginica
7.7,2.8,6.7,2.0,virginica
6.3,2.7,4.9,1.8,virginica
6.7,3.3,5.7,2.1,virginica
7.2,3.2,6.0,1.8,virginica
6.2,2.8,4.8,1.8,virginica
6.1,3.0,4.9,1.8,virginica
6.4,2.8,5.6,2.1,virginica
7.2,3.0,5.8,1.6,virginica
7.4,2.8,6.1,1.9,virginica
7.9,3.8,6.4,2.0,virginica
6.4,2.8,5.6,2.2,virginica
6.3,2.8,5.1,1.5,virginica
6.1,2.6,5.6,1.4,virginica
7.7,3.0,6.1,2.3,virginica
6.3,3.4,5.6,2.4,virginica
6.4,3.1,5.5,1.8,virginica
6.0,3.0,4.8,1.8,virginica
6.9,3.1,5.4,2.1,virginica
6.7,3.1,5.6,2.4,virginica
6.9,3.1,5.1,2.3,virginica
5.8,2.7,5.1,1.9,virginica
6.8,3.2,5.9,2.3,virginica
6.7,3.3,5.7,2.5,virginica
6.7,3.0,5.2,2.3,virginica
6.3,2.5,5.0,1.9,virginica
6.5,3.0,5.2,2.0,virginica
6.2,3.4,5.4,2.3,virginica
5.9,3.0,5.1,1.8,virginica
5.790627170321231,3.657427830324285,5.223170797331298,1.577895783117196,Unknown
5.338251584064318,2.7914489285201927,2.2490390115951606,2.0876758800343467,Unknown
6.259674655964387,3.3930294582704192,2.083546195272833,2.2853502264070693,Unknown
6.7385610911836515,2.852845696691892,2.795140000173422,0.7865902295417277,Unknown
5.6450989455924825,3.1932761392770903,3.8989812124259196,0.9920602167676906,Unknown
6.28190384891749,2.773468725431343,3.2820078465291047,1.1352326579434853,Unknown
5.959407470149285,3.4770463716815683,2.8739112039215042,1.4170178134617974,Unknown
6.241663300843637,2.67208247046174,4.673946400959267,0.7620454407252544,Unknown
5.149934757160752,3.6554350832785687,6.254273071653699,1.9775729399280297,Unknown
5.64586806627581,2.727897002081326,5.012390148839754,1.27584769141088,Unknown
5.267906526838393,3.1610443488882174,2.1444667556632866,2.1698913234195265,Unknown
5.550984548759742,3.343394865319498,3.3683592965106444,1.4281342547814737,Unknown
6.147047865709184,2.8228966103564046,6.2717168427113155,1.9141842554065571,Unknown
6.9601853323063665,3.596529730623256,4.631381207393236,2.193813834319545,Unknown
5.198461314178486,2.8350228537813678,2.192300899762755,1.0570432467807098,Unknown
5.81989345112072,2.9171467843977807,5.650123918594913,1.1169227247049132,Unknown
5.596848084485943,3.2128243624363435,2.614634980169054,1.965757556015455,Unknown
5.169599362480884,3.696843905168201,5.400807583948668,0.8157671090691725,Unknown
5.026698900717426,3.51004740672109,5.112236817392228,1.8262874754303515,Unknown
6.611924329366408,2.7021509665735595,3.574699059948714,0.6578950689656433,Unknown
6.802033985128548,3.3006536457674622,3.4530360133941054,0.5582120862854466,Unknown
5.659052022887107,2.975808164634566,5.212633010728973,1.6520214663581134,Unknown
6.851944256449968,3.136023461201635,2.5205005443977395,1.7962507744004221,Unknown
6.590218028934582,3.2330715657073794,5.3951692684275825,1.3780696751621804,Unknown
6.0974105803386225,3.0873438367216197,2.1048826155714084,0.6426929389034416,Unknown
5.080330815598249,3.314941652528086,3.380031911761998,1.4062250097103255,Unknown
6.894079845221725,2.893112242853406,3.803822389227166,1.8768695109314601,Unknown
5.488917232823186,2.7053494166762304,3.271446086523129,0.7443180098311839,Unknown
6.93989504326903,3.5020481174525777,4.7880680975099335,2.0977458865117216,Unknown
6.679001267559913,2.824766044514329,5.931783824526025,1.4648630974970693,Unknown
6.686801812506846,3.5979070130510094,3.3961291980860393,0.6468099704144279,Unknown
5.487130674045747,3.0868717611367726,5.602801819398366,2.0772988478334735,Unknown
5.029659264880871,3.1780108716864435,3.8348390327445365,0.8603430136507267,Unknown
5.263408331872088,2.9893547246415504,6.153993852840475,1.0529892881346115,Unknown
6.089249558801114,3.3875227030309016,3.597488503343059,2.288917938049626,Unknown
7.0076922176191765,2.895825583132221,4.187181539097377,1.0104476181616457,Unknown
5.604934118531595,2.661661490161825,4.682858871322272,1.394997881626065,Unknown
5.1218367309072566,2.9250985463405312,6.001102176307478,0.8936034071573031,Unknown
5.315223544596538,3.15480693908212,6.342619279872619,0.8983547791642117,Unknown
6.406698905897139,3.4513778290672485,3.0414546081552887,1.8247804945347843,Unknown
5.776639091971472,3.3104690317082275,4.788623964549505,1.458064780065762,Unknown
5.202181956067885,3.5316675372737203,3.408382971639189,0.7925242508358397,Unknown
5.099678489317977,3.2653428282535613,4.982959693939931,0.4687053345106923,Unknown
6.07538449523104,2.8682717286200923,4.840007734382739,0.7693673153472482,Unknown
6.4456225490162,3.042879295010942,6.126721252135827,0.6991547741206569,Unknown
5.721330937099786,2.7451152537511883,6.073601793374159,2.108948423393729,Unknown
5.549249017621461,3.3406290340526565,5.599304032229584,1.4950830954691539,Unknown
6.111731464356706,2.885005197242159,2.4035871455388347,2.146824784115073,Unknown
6.879281440746944,3.3113359988209083,3.4889234946420276,1.102547394701459,Unknown
6.5181154755695205,3.5990173388569486,5.907632010499706,1.9232219597572195,Unknown
